60 30 2340
15 45  1.837E-02 -3.887E-03
15 46  3.090E-03 -6.644E-04
15 47 -4.168E-03  5.923E-04
15 48 -4.188E-03  5.963E-04
15 49 -1.453E-05 -6.624E-10
15 51 -3.943E-05 -1.838E-09
16  4 -4.802E-02  2.724E-02
16  5  3.078E-02 -2.492E-02
16  6 -7.849E-03  2.250E-03
16  7 -1.377E-03  2.733E-04
16  8  4.382E-04 -9.692E-05
16  9 -3.090E-03  6.644E-04
16 10 -8.337E-04  1.084E-04
16 11 -1.855E-03  2.624E-04
16 12 -6.341E-04  8.145E-05
16 16 -5.353E-01  1.000E+00
16 17  4.723E-01 -4.836E-01
16 18 -5.055E-02  4.368E-02
16 19 -2.304E-01  1.631E-01
16 20  8.695E-02 -8.265E-02
16 21 -2.072E-01  1.889E-01
16 22 -1.610E-01  1.358E-01
16 23 -2.128E-01  1.543E-01
16 24 -8.720E-02  4.779E-02
16 28 -4.802E-02  2.724E-02
16 29  3.078E-02 -2.492E-02
16 30 -7.849E-03  2.250E-03
16 31 -2.304E-01  1.631E-01
16 32  8.695E-02 -8.265E-02
16 33  2.072E-01 -1.889E-01
16 34 -1.610E-01  1.358E-01
16 35 -2.128E-01  1.543E-01
16 36 -8.720E-02  4.779E-02
16 40  7.578E-08  3.444E-10
16 43 -1.377E-03  2.733E-04
16 44  4.382E-04 -9.692E-05
16 45  3.090E-03 -6.644E-04
16 46 -8.337E-04  1.084E-04
16 47 -1.855E-03  2.624E-04
16 48 -6.341E-04  8.145E-05
16 52  7.578E-08  3.444E-10
17  1 -7.195E-02  3.556E-02
17  2 -1.095E-02  4.769E-03
17  3 -9.941E-02  5.913E-02
17  4  3.078E-02 -2.492E-02
17  5 -8.714E-02  6.694E-02
17  6 -3.880E-02  1.908E-02
17  7 -1.984E-03  2.632E-04
17  8  4.451E-04 -5.456E-05
17  9 -4.168E-03  5.923E-04
17 10  1.855E-03 -2.624E-04
17 11 -2.180E-04  5.870E-06
17 12 -1.240E-03  1.224E-04
17 13 -7.775E-01  5.654E-01
17 14 -9.799E-02  9.252E-02
17 16  4.723E-01 -4.836E-01
17 17 -6.970E-01  1.000E+00
17 18 -3.921E-01  2.677E-01
17 19 -2.425E-01  1.323E-01
17 20  6.556E-02 -3.208E-02
17 21 -1.965E-01  1.161E-01
17 22  2.128E-01 -1.543E-01
17 23 -5.699E-02  2.105E-02
17 24 -1.259E-01  7.411E-02
17 25 -7.195E-02  3.556E-02
17 26 -1.095E-02  4.769E-03
17 27  9.941E-02 -5.913E-02
17 28  3.078E-02 -2.492E-02
17 29 -8.714E-02  6.694E-02
17 30 -3.880E-02  1.908E-02
17 31 -2.425E-01  1.323E-01
17 32  6.556E-02 -3.208E-02
17 33  1.965E-01 -1.161E-01
17 34  2.128E-01 -1.543E-01
17 35 -5.699E-02  2.105E-02
